# QZX public output-contract inventory
# GENERATED: registered and covered by the shared invoke/JSON contract.
# COMMAND_TEST: also has a command-specific automated test module.
# This inventory does not claim that every external side effect was manually exercised.
Command Name,Category,Natural Output,JSON Output,Status,Evidence
analyzeComplexity,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
auditLanguages,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_audit_languages.py
auditRepository,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_audit_repository.py
bootstrapProject,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_bootstrap_project.py
cleanDevCaches,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_clean_dev_caches.py
compareFiles,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
createDocTemplatePython,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
deployProject,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_deploy_project.py
findDeadCode,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_find_dead_code.py
formatCode,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_format_code.py
getGitStatus,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_get_git_status.py
getProjectTree,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_get_project_tree.py
projectDoctor,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_project_doctor.py
releaseProject,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_release_project.py
scaffoldC,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
scaffoldCpp,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
scaffoldCsharp,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
scaffoldGo,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
scaffoldJava,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
scaffoldJavascript,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
scaffoldKotlin,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
scaffoldPhp,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
scaffoldPython,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
scaffoldRust,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
scaffoldTypescript,development,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
scanProject,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_scan_project.py
traceCircularImports,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_trace_circular_imports.py
traceEnvVar,development,shared renderer,single-document contract,COMMAND_TEST,tests/test_development_commands/test_trace_env_var.py
changePermissions,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
compressZip,file,shared renderer,single-document contract,COMMAND_TEST,tests/test_file_commands/test_compress_zip.py
copyFile,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
countLinesInFile,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
createDirectory,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
decompressZip,file,shared renderer,single-document contract,COMMAND_TEST,tests/test_file_commands/test_decompress_zip.py
deleteFile,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
detectFileType,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
downloadFile,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
findBrokenSymlinks,file,shared renderer,single-document contract,COMMAND_TEST,tests/test_file_commands/test_find_broken_symlinks.py
findDuplicateFiles,file,shared renderer,single-document contract,COMMAND_TEST,tests/test_file_commands/test_find_duplicate_files.py
findFiles,file,shared renderer,single-document contract,COMMAND_TEST,tests/test_file_commands/test_find_files.py
findLargeFiles,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
findText,file,shared renderer,single-document contract,COMMAND_TEST,tests/test_file_commands/test_find_text.py
getFileHash,file,shared renderer,single-document contract,COMMAND_TEST,tests/test_file_commands/test_get_file_hash.py
getHumanLanguageStats,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
getProgrammingLanguageStats,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
inspectImage,file,shared renderer,single-document contract,COMMAND_TEST,tests/test_file_commands/test_inspect_image.py
isDirectoryEmpty,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
isFileBinary,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
isFileEmpty,file,shared renderer,single-document contract,COMMAND_TEST,tests/test_file_commands/test_is_file_empty.py
listFiles,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
moveFile,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
readFile,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
repairWorkspace,file,shared renderer,single-document contract,COMMAND_TEST,tests/test_file_commands/test_repair_workspace.py
touchFile,file,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
checkDns,network,shared renderer,single-document contract,COMMAND_TEST,tests/test_network_commands/test_check_dns.py
checkSslCertificate,network,shared renderer,single-document contract,COMMAND_TEST,tests/test_network_commands/test_check_ssl_certificate.py
checkUrlStatus,network,shared renderer,single-document contract,COMMAND_TEST,tests/test_network_commands/test_check_url_status.py
getNetworkConfig,network,shared renderer,single-document contract,COMMAND_TEST,tests/test_network_commands/test_get_network_config.py
testWebSpeed,network,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
about,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
checkDependency,system,shared renderer,single-document contract,COMMAND_TEST,tests/test_system_commands/test_check_dependency.py
checkSystemPath,system,shared renderer,single-document contract,COMMAND_TEST,tests/test_system_commands/test_check_system_path.py
clearScreen,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
commandsBridge,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
currentDir,system,shared renderer,single-document contract,COMMAND_TEST,tests/test_system_commands/test_current_dir.py
generateContent,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
getCommandCount,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
getCPULoad,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
getCurrentDate,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
getCurrentTime,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
getCurrentUser,system,shared renderer,single-document contract,COMMAND_TEST,tests/test_system_commands/test_get_current_user.py
getDiskInfo,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
getDiskName,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
getEnvironmentInfo,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
getGPULoad,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
getRAMInfo,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
getSmartValues,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
getStartupPrograms,system,shared renderer,single-document contract,COMMAND_TEST,tests/test_system_commands/test_get_startup_programs.py
getToday,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
inspectPort,system,shared renderer,single-document contract,COMMAND_TEST,tests/test_system_commands/test_inspect_port.py
isAdmin,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
killProcess,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
listProcesses,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
listSystemServices,system,shared renderer,single-document contract,COMMAND_TEST,tests/test_system_commands/test_list_system_services.py
qzxHelp,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
qzxListCommands,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
runScript,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
systemDoctor,system,shared renderer,single-document contract,COMMAND_TEST,tests/test_system_commands/test_system_doctor.py
systemInfo,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
terminal,system,shared renderer,single-document contract,COMMAND_TEST,tests/test_terminal.py
testDiskSpeed,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
version,system,shared renderer,single-document contract,COMMAND_TEST,tests/test_system_commands/test_version.py
welcome,system,shared renderer,single-document contract,GENERATED,tests/test_cli_contract.py
# Total unique commands: 93
